Player Name,Goals Per Game,Assists Per Game,Saves Per Game,Shots Per Game,Uncertainty Factor,Team Name,Region
Mittaen,0.66,0.53,1.63,3.07,0.27,Monkeys,EU
Smokez,0.75,0.54,1.73,2.63,0.28,Monkeys,EU
Dying,0.68,0.48,1.39,2.77,0.29,Monkeys,EU
Mikeboy,0.65,0.54,1.73,2.72,0.26,Suhhh,EU
Tho.,0.58,0.55,1.84,3.11,0.26,Suhhh,EU
Ivn,0.55,0.50,1.62,2.43,0.25,Suhhh,EU
Stake,0.66,0.58,1.82,2.76,0.27,Devil Fruit,EU
TeHQoz,0.87,0.71,1.46,3.25,0.29,Devil Fruit,EU
Compact,0.94,0.61,1.31,3.32,0.30,Devil Fruit,EU
Dreaz,0.63,0.46,1.64,2.51,0.26,Dreaz Percy Jknaps,NA
Percy,0.92,0.46,1.82,3.33,0.26,Dreaz Percy Jknaps,NA
Jknaps,0.67,0.59,1.48,3.01,0.24,Dreaz Percy Jknaps,NA
